scenario,tes_sector,year,emissions_MtCO2e
Reference,Industry,2006,100.998635280202
Reference,Industry,2007,101.477150630374
Reference,Industry,2008,92.8250981074121
Reference,Industry,2009,74.9407923049745
Reference,Industry,2010,78.1926375067519
Reference,Industry,2011,74.1129709760534
Reference,Industry,2012,72.2967795036334
Reference,Industry,2013,76.5579340205147
Reference,Industry,2014,74.3363569200435
Reference,Industry,2015,70.6321744390849
Reference,Industry,2016,64.3290076086309
Reference,Industry,2017,64.5240921975261
Reference,Industry,2018,63.2085283794884
Reference,Industry,2019,61.7304354520241
Reference,Industry,2020,58.4013839421159
Reference,Industry,2021,57.9447311709853
Reference,Industry,2022,54.3588225473647
Reference,Industry,2023,53.0510806414845
Reference,Industry,2024,43.264905241902
Reference,Industry,2025,40.9552715326769
Reference,Industry,2026,40.2452129937763
Reference,Industry,2027,40.2030173836479
Reference,Industry,2028,40.1502147537831
Reference,Industry,2029,40.0991539472836
Reference,Industry,2030,40.1178138899444
Reference,Industry,2031,40.2367915532211
Reference,Industry,2032,40.5148726810912
Reference,Industry,2033,40.7325610234576
Reference,Industry,2034,40.6348784940052
Reference,Industry,2035,40.7126679478967
Reference,Industry,2036,40.8016525078293
Reference,Industry,2037,41.1356602607097
Reference,Industry,2038,41.3461863367852
Reference,Industry,2039,41.6195148856207
Reference,Industry,2040,42.2543998110385
Reference,Industry,2041,43.0704458116325
Reference,Industry,2042,43.4573741591134
Reference,Industry,2043,43.8868288747714
Reference,Industry,2044,44.2570904139388
Reference,Industry,2045,44.7500578511869
Reference,Industry,2046,45.3467549553927
Reference,Industry,2047,45.8100426003812
Reference,Industry,2048,46.2964259420851
Reference,Industry,2049,46.8419463965239
Reference,Industry,2050,47.3748288570278
Reference,LULUCF,1990,10.6238726313304
Reference,LULUCF,1991,10.1117391556074
Reference,LULUCF,1992,9.27921462608944
Reference,LULUCF,1993,8.69384849016799
Reference,LULUCF,1994,8.25499275587914
Reference,LULUCF,1995,8.29408156773373
Reference,LULUCF,1996,7.29888881565863
Reference,LULUCF,1997,6.74965008724044
Reference,LULUCF,1998,5.96165299469253
Reference,LULUCF,1999,6.07622611866308
Reference,LULUCF,2000,5.8165000617974
Reference,LULUCF,2001,5.17351914195232
Reference,LULUCF,2002,4.3457864800215
Reference,LULUCF,2003,4.18559867581597
Reference,LULUCF,2004,3.32599036920681
Reference,LULUCF,2005,2.9562338693275
Reference,LULUCF,2006,2.53705519258907
Reference,LULUCF,2007,1.91003713291075
Reference,LULUCF,2008,1.22774903416888
Reference,LULUCF,2009,1.13558384043056
Reference,LULUCF,2010,1.05006812917393
Reference,LULUCF,2011,0.403891460082564
Reference,LULUCF,2012,0.505346373580899
Reference,LULUCF,2013,0.398968456201681
Reference,LULUCF,2014,0.0720308545919073
Reference,LULUCF,2015,-0.0617161466723142
Reference,LULUCF,2016,0.295045210907603
Reference,LULUCF,2017,0.0212098248235195
Reference,LULUCF,2018,0.684754591408554
Reference,LULUCF,2019,0.551649018647838
Reference,LULUCF,2020,0.401275637288966
Reference,LULUCF,2021,0.235021339974388
Reference,LULUCF,2022,0.541752124764709
Reference,LULUCF,2023,1.11971398879782
Reference,LULUCF,2024,0.772473937745446
Reference,LULUCF,2025,0.85338772111931
Reference,LULUCF,2026,0.941803891439629
Reference,LULUCF,2027,1.05249354242531
Reference,LULUCF,2028,1.03922145167634
Reference,LULUCF,2029,1.18494290131125
Reference,LULUCF,2030,1.33687784699157
Reference,LULUCF,2031,1.59385231293396
Reference,LULUCF,2032,1.8600063221481
Reference,LULUCF,2033,2.18002045240814
Reference,LULUCF,2034,2.52245540334349
Reference,LULUCF,2035,2.86269668185091
Reference,LULUCF,2036,3.1910595289671
Reference,LULUCF,2037,3.48110002502241
Reference,LULUCF,2038,3.70278702304934
Reference,LULUCF,2039,3.92197933803403
Reference,LULUCF,2040,4.10534913163693
Reference,LULUCF,2041,4.29487024454034
Reference,LULUCF,2042,4.41276908506391
Reference,LULUCF,2043,4.48241621455591
Reference,LULUCF,2044,4.51963787513381
Reference,LULUCF,2045,4.51963829708352
Reference,LULUCF,2046,4.54417530675067
Reference,LULUCF,2047,4.5413256061281
Reference,LULUCF,2048,4.4904485985796
Reference,LULUCF,2049,4.432307529618
Reference,LULUCF,2050,4.35862189668962
Reference,Waste,1990,70.2851382107242
Reference,Waste,1991,71.151851599193
Reference,Waste,1992,71.3100141105853
Reference,Waste,1993,71.9864210312014
Reference,Waste,1994,72.4678954520795
Reference,Waste,1995,73.1884732530741
Reference,Waste,1996,73.837094103762
Reference,Waste,1997,73.4280783971221
Reference,Waste,1998,73.0234035710687
Reference,Waste,1999,70.5019423640304
Reference,Waste,2000,67.7097679254949
Reference,Waste,2001,65.3994841446134
Reference,Waste,2002,64.9403304902157
Reference,Waste,2003,61.4927753474448
Reference,Waste,2004,56.830230673088
Reference,Waste,2005,54.5724508834385
Reference,Waste,2006,52.5935161979471
Reference,Waste,2007,48.9942991372736
Reference,Waste,2008,44.1227456084859
Reference,Waste,2009,40.0510232965439
Reference,Waste,2010,34.8066625346662
Reference,Waste,2011,32.5074384532321
Reference,Waste,2012,30.7786870267161
Reference,Waste,2013,27.3928962699161
