mini_scenario_id,quadrant_id,scenario_name,mini_scenario_label,uk_policy_delivery,external_conditions,domestic_delivery_score,external_shift,default_removals_credit_available_MtCO2e,post_2050_reduction_rate_MtCO2e_per_year_for_stress_test,tes_sector,sector_2050_MtCO2e_before_offsets,desnz_central_2050_MtCO2e,accelerated_anchor_2050_MtCO2e,delayed_delivery_2050_MtCO2e,external_dependency_score,clean_power_score
U3-1,U3,Weak delivery despite supportive conditions,partial-delivery,Low,Supportive,0.3,0.1,30,7.312933295808833,Buildings and product uses,54.957752917999485,84.5503891046146,0.0,84.5503891046146,0.3333333333333333,1.0
U3-1,U3,Weak delivery despite supportive conditions,partial-delivery,Low,Supportive,0.3,0.1,30,7.312933295808833,Domestic Transport,60.877446628485266,49.8833690620126,23.787366216473487,80.8490283887993,0.3333333333333333,1.0
U3-1,U3,Weak delivery despite supportive conditions,partial-delivery,Low,Supportive,0.3,0.1,30,7.312933295808833,Industry,30.755434783919398,47.3748288570278,0.0,50.21295474925616,1.0,0.5
U3-1,U3,Weak delivery despite supportive conditions,partial-delivery,Low,Supportive,0.3,0.1,30,7.312933295808833,Electricity supply,27.0584494179386,40.9557563067436,0.0,42.4446265379429,0.5,1.0
U3-1,U3,Weak delivery despite supportive conditions,partial-delivery,Low,Supportive,0.3,0.1,30,7.312933295808833,Agriculture,40.98742450373175,38.2005567333275,38.2005567333275,42.40714959431505,0.5,0.0
U3-1,U3,Weak delivery despite supportive conditions,partial-delivery,Low,Supportive,0.3,0.1,30,7.312933295808833,IAS,27.958392533921874,34.0464399792679,12.478539520291406,36.760661894613705,0.8333333333333334,0.0
U3-1,U3,Weak delivery despite supportive conditions,partial-delivery,Low,Supportive,0.3,0.1,30,7.312933295808833,Fuel supply,13.81382567626289,13.2401066474921,0.0,21.66874615884375,0.6666666666666666,0.5
U3-1,U3,Weak delivery despite supportive conditions,partial-delivery,Low,Supportive,0.3,0.1,30,7.312933295808833,Waste,10.844593701659162,11.6812776690764,0.0,15.7739544751406,0.16666666666666666,0.0
U3-1,U3,Weak delivery despite supportive conditions,partial-delivery,Low,Supportive,0.3,0.1,30,7.312933295808833,LULUCF,2.887587006556873,4.35862189668962,0.0,4.35862189668962,0.5,0.0
U3-2,U3,Weak delivery despite supportive conditions,uneven-delivery,Low,Supportive,0.4,0.1,30,7.312933295808833,Buildings and product uses,46.502714007538025,84.5503891046146,0.0,84.5503891046146,0.3333333333333333,1.0
U3-2,U3,Weak delivery despite supportive conditions,uneven-delivery,Low,Supportive,0.4,0.1,30,7.312933295808833,Domestic Transport,55.17128041125268,49.8833690620126,23.787366216473487,80.8490283887993,0.3333333333333333,1.0
U3-2,U3,Weak delivery despite supportive conditions,uneven-delivery,Low,Supportive,0.4,0.1,30,7.312933295808833,Industry,25.734139308993782,47.3748288570278,0.0,50.21295474925616,1.0,0.5
U3-2,U3,Weak delivery despite supportive conditions,uneven-delivery,Low,Supportive,0.4,0.1,30,7.312933295808833,Electricity supply,22.81398676414431,40.9557563067436,0.0,42.4446265379429,0.5,1.0
U3-2,U3,Weak delivery despite supportive conditions,uneven-delivery,Low,Supportive,0.4,0.1,30,7.312933295808833,Agriculture,40.566765217633,38.2005567333275,38.2005567333275,42.40714959431505,0.5,0.0
U3-2,U3,Weak delivery despite supportive conditions,uneven-delivery,Low,Supportive,0.4,0.1,30,7.312933295808833,IAS,25.53018029648964,34.0464399792679,12.478539520291406,36.760661894613705,0.8333333333333334,0.0
